N?,Ruta,Operador,Distrito Inicial,Distrito Final,geometria,paraderos
1,1005,TRANSPORTES Y SERVICIOS SANTA CRUZ S A,CARABAYLLO,RIMAC,"-11.888,-77.035;-11.945,-77.051;-12.002,-77.032;-12.036,-77.028","Punchauca,-11.888,-77.035;Uni,-12.020,-77.030;Tacna,-12.036,-77.028"
2,1018,EMPRESA DE TRANSPORTES ONCE DE NOVIEMBRE,CARABAYLLO,SAN LUIS,"-11.890,-77.040;-11.968,-77.059;-12.045,-77.025;-12.071,-77.001","Lomas,-11.890,-77.040;Caquetá,-12.035,-77.035;La Victoria,-12.071,-77.001"
3,1046,TRANSPORT SABINO BA?OS S.A.C.,SAN JUAN DE LURIGANCHO,LINCE,"-11.912,-76.995;-12.015,-77.012;-12.046,-77.031;-12.083,-77.035","Canto Grande,-11.912,-76.995;Abancay,-12.046,-77.028;Risso,-12.083,-77.035"
4,1048,EMPRESA DE TRANSPORTES 12 DE ENERO SOCIEDAD ANONIMA,SAN JUAN DE LURIGANCHO,LINCE,"-11.920,-76.985;-12.020,-77.015;-12.052,-77.034;-12.085,-77.032","Bayóvar,-11.920,-76.985;Achuche,-12.030,-77.010;Hospital Lince,-12.085,-77.032"
5,1131,EMPRESA DE TRANSPORTES Y SERVICIOS VIRGEN DE LA PUERTA S.A.,VENTANILLA,LA VICTORIA,"-11.875,-77.122;-12.005,-77.105;-12.058,-77.065;-12.065,-77.032","Ventanilla Alta,-11.875,-77.122;Faucett,-12.010,-77.100;Gamarra,-12.065,-77.032"
6,1160,MULTISERVICIOS E INVERSIONES CHIM PUM CALLAO S.A.,VENTANILLA,ATE,"-11.865,-77.130;-12.012,-77.085;-12.045,-77.012;-12.048,-76.925","Pachacutec,-11.865,-77.130;Plaza Norte,-11.995,-77.060;Santa Anita,-12.048,-76.925"
7,1187,EMPRESA DE TRANSPORTES Y SERVICIOS SE?OR DE NAZARENO S.A.C.,SAN JUAN DE LURIGANCHO,CERCADO DE LIMA,"-11.935,-76.975;-12.025,-77.008;-12.045,-77.028;-12.052,-77.045","Montenegro,-11.935,-76.975;Puente Nuevo,-12.035,-77.005;Dos de Mayo,-12.052,-77.045"
8,1189,EMPRESA DE TRANSP. Y SERV. EL INTI S.A.,SAN MARTIN DE PORRES,LA MOLINA,"-12.005,-77.082;-12.042,-77.031;-12.072,-76.975;-12.085,-76.928","Habich,-12.005,-77.082;Paseo Colón,-12.055,-77.035;U. de Lima,-12.085,-76.928"
9,1197,EMP.DE TRANSP DIECISIETE DE JUNIO S.A,SAN MARTIN DE PORRES,SANTIAGO DE SURCO,"-11.995,-77.091;-12.055,-77.075;-12.095,-77.025;-12.128,-76.998","Canta Callao,-11.995,-77.091;Alfonso Ugarte,-12.045,-77.045;Benavides,-12.128,-76.998"
10,1233,EMPRESA DE TRANSPORTES Y SERVICIOS SAN PEDRO DE PAMPLONA S.A.,SAN JUAN DE MIRAFLORES,SAN MARTIN DE PORRES,"-12.165,-76.965;-12.115,-77.005;-12.045,-77.035;-11.998,-77.075","San Juan,-12.165,-76.965;Angamos,-12.110,-77.020;Mega Plaza,-11.998,-77.075"
11,1234,EMPRESA DE TRANSPORTES LA UNIDAD DE VILLA S.A.,SAN JUAN DE MIRAFLORES,LA PERLA,"-12.158,-76.958;-12.125,-77.015;-12.095,-77.055;-12.065,-77.112","Valle,-12.158,-76.958;Surco,-12.135,-77.000;Minka,-12.065,-77.112"
12,1252,EMPRESA DE SERVICIO ESPECIAL DE TRANSPORTE SAN JUDAS TADEO S.A.,VILLA MARIA DEL TRIUNFO,SAN MIGUEL,"-12.175,-76.935;-12.135,-77.008;-12.085,-77.055;-12.078,-77.085","Hospital VMT,-12.175,-76.935;Marsano,-12.120,-77.015;Plaza San Miguel,-12.078,-77.085"
13,1256,EMPRESA BUSINESS CORPORATION MILENIUM S.A.C.,SAN JUAN DE LURIGANCHO,CARMEN DE LA LEGUA REYNOSO,"-11.942,-76.968;-12.015,-77.005;-12.045,-77.082;-12.055,-77.125","Campoy,-11.942,-76.968;Avenida Perú,-12.035,-77.070;Obelisco,-12.055,-77.125"
14,1284,EMPRESA DE TRANSPORTES TREINTITRES S.A.,SAN MARTIN DE PORRES,VILLA EL SALVADOR,"-11.985,-77.085;-12.055,-77.045;-12.125,-76.985;-12.155,-76.935","Chuquitanta,-11.985,-77.085;Plaza Bolognesi,-12.058,-77.042;VES,-12.155,-76.935"
15,1289,STARLET CONSORCIO S.A.,SAN JUAN DE LURIGANCHO,JESUS MARIA,"-11.948,-76.955;-12.025,-77.012;-12.045,-77.035;-12.075,-77.048","Las Flores,-11.948,-76.955;Chancay,-12.042,-77.038;Hospital Rebagliati,-12.075,-77.048"
16,1300,CORPORACION ROMA INTERNATIONAL SOCIEDAD ANONIMA CERRADA,VENTANILLA,SAN JUAN DE LURIGANCHO,"-11.868,-77.128;-12.005,-77.085;-12.042,-77.015;-11.955,-76.985","Mi Perú,-11.868,-77.128;Tomás Valle,-12.005,-77.075;Wiesse,-11.955,-76.985"
17,1316,CORPORACION ROMA INTERNATIONAL SOCIEDAD ANONIMA CERRADA,VENTANILLA,SAN JUAN DE LURIGANCHO,"-11.872,-77.132;-12.012,-77.092;-12.048,-77.022;-11.962,-76.992","Angamos Ventanilla,-11.872,-77.132;Panamericana,-12.015,-77.050;SJL,-11.962,-76.992"
18,1346,EMPRESA DE TRANSPORTE NUEVO SAN JUAN S.A,SAN JUAN DE LURIGANCHO,CALLAO,"-11.955,-76.945;-12.028,-77.015;-12.048,-77.055;-12.062,-77.122","Huáscar,-11.955,-76.945;Evitamiento,-12.035,-77.010;Faucett,-12.062,-77.122"
